company_id,company_name,affiliation_id,active
DCSYNPCOM001807,Chakra Critical Care Centre and Hospitals,,Y
DCSYNPCOM000720,Chambers Clinic and Diagnostic Center,,Y
DCSYNPCOM000887,Chandan Hospital,,Y
DCSYNPCOM000628,Chandraa's Clinic,,Y
DCSYNPCOM000421,Chandraleela Hospital,,Y
DCSYNPCOM001248,Change Clinic,,Y
DCSYNPCOM000883,Charak Hospital,,Y
DCSYNPCOM000251,Chennai Heart Clinic,,Y
DCSYNPCOM000239,Chettinad Super Speciality Hospital,,Y
DCSYNPCOM000998,Chiranjeevi Hospitals,,Y
DCSYNPCOM000597,Chittinagar Sugar Hospital,,Y
DCSYNPCOM000972,Choithram Hospital & Research Centre,,Y
DCSYNPCOM001711,City Dental Clinic,,Y
DCSYNPCOM000748,CK Birla Hospital,,Y
DCSYNPCOM000851,CK Birla Hospitals | RBH,,Y
DCSYNPCOM001314,Clear Skin Clinic,,Y
DCSYNPCOM000144,Columbia Hospital,,Y
DCSYNPCOM001784,Columbiaa Hospital,,Y
DCSYNPCOM2024,Continental Hospitals,,Y
DCSYNPCOM001304,Corium - Skin Hair & Laser Clinic,,Y
DCSYNPCOM001498,Cosmodent Multi Speciality Dental Clinic and Ortho,,Y
DCSYNPCOM001053,Crispr Skin and Hair Clinic,,Y
DCSYNPCOM001924,Cronus Multispeciality Hospital,,Y
DCSYNPCOM001710,Crowns and Roots Dental Clinic,,Y
DCSYNPCOM001414,Cura Hospitals,,Y
DCSYNPCOM001008,Curves Clinic,,Y
DCSYNPCOM001310,Cutis Skin Clinic,,Y
DCSYNPCOM001273,Cutis Skin Clinic & Hair Transplant Centre,,Y
DCSYNPCOM000736,Cygnus Sonia Hospital,,Y
DCSYNPCOM000347,Cytecare Hospitals,,Y
DCSYNPCOM001736,D'Smile Dental Clinic,,Y
DCSYNPCOM000561,D P Bora Superspeciality Hospital,,Y
DCSYNPCOM000627,D.S.R Clinic,,Y
DCSYNPCOM001704,Daga Speciality Dental Clinic,,Y
DCSYNPCOM000674,Darda Hospital & Maternity Home,,Y
DCSYNPCOM000933,Deepam Hospital,,Y
DCSYNPCOM000279,Denta'Glo Dental Clinic & Implant Centre,,Y
DCSYNPCOM001550,Denta Sculpt Dental Clinic,,Y
DCSYNPCOM001927,Dental Avenue Clinic,,Y
DCSYNPCOM001716,Dental Care Center,,Y
DCSYNPCOM001499,Dental Clinic,,Y
DCSYNPCOM001361,Dental Health Care Clinic,,Y
DCSYNPCOM001745,Dental Oasis Orthodontic and Dental Clinic,,Y
DCSYNPCOM001491,Dental Wellness - Multispeciality Dental Clinic,,Y
DCSYNPCOM001434,Dentalfix Clinic,,Y
DCSYNPCOM001719,Dentica Orthodontic & Multispeciality Dental Clini,,Y
DCSYNPCOM001322,Dentin Oral Expert Clinic,,Y
DCSYNPCOM001433,DentoKraft Dental Clinic,,Y
DCSYNPCOM001615,Dentomax-Dento-Oral & Maxillofacial Clinic,,Y
DCSYNPCOM001496,Dentotsav Dental Clinic,,Y
DCSYNPCOM001517,"Dentsee Dental Clinic, Laser and Implant Centre",,Y
DCSYNPCOM001451,Derm Glitz Clinic Skin Hair Laser,,Y
DCSYNPCOM001169,Derma Wellness & Aesthetic Clinic,,Y
DCSYNPCOM000992,Dermacare Skin and Hair Clinic,,Y
DCSYNPCOM001295,Dermacity Skin Clinic,,Y
DCSYNPCOM001215,Dermacure Clinic,,Y
DCSYNPCOM001973,Dermadex Clinic,,Y
DCSYNPCOM001151,Dermaplast Aesthetic Clinic,,Y
DCSYNPCOM001972,Dermavenue Advanced Skin And Hair Clinic,,Y
DCSYNPCOM001290,"DermaVue Skin & Plastic Surgery, Lasers & Hair Tra",,Y
DCSYNPCOM001205,Dermax Skin Clinic,,Y
DCSYNPCOM001039,Dermis Skin & Hair Clinic,,Y
DCSYNPCOM001268,Dermlines Skin And Hair Clinic,,Y
DCSYNPCOM000449,Desun Hospital,,Y
DCSYNPCOM001601,Dev Clinic,,Y
DCSYNPCOM000839,Dev Hospital,,Y
DCSYNPCOM000940,Devanshi Heart And Speciality Clinics,,Y
